sp	ssp	fi	en
Haliaeetus albicilla	Haliaeetus albicilla 	merikotka	White-tailed Sea Eagle
Hieraaetus pennatus	Hieraaetus pennatus 	pikkukotka	Booted Eagle
Himantopus himantopus	Himantopus himantopus 	pitkäjalka	Black-winged Stilt
Hippolais icterina	Hippolais icterina 	kultarinta	Icterine Warbler
Hippolais olivetorum	Hippolais olivetorum 	oliivikultarinta	Olive-tree Warbler
Hippolais polyglotta	Hippolais polyglotta 	taiturikultarinta	Melodious Warbler
Hirundo rustica	Hirundo rustica 	haarapääsky	Barn Swallow
Hydrobates pelagicus	Hydrobates pelagicus melitensis 	merikeiju	European Storm Petrel
Hydrobates pelagicus	Hydrobates pelagicus pelagicus 	merikeiju	European Storm Petrel
Ixobrychus minutus	Ixobrychus minutus minutus 	pikkuhaikara	Little Bittern
Jynx torquilla	Jynx torquilla 	käenpiika	Northern Wryneck
Lagopus lagopus	Lagopus lagopus hibernicus 	riekko	Willow Grouse/Red Grouse
Lagopus lagopus	Lagopus lagopus lagopus 	riekko	Willow Grouse/Red Grouse
Lagopus lagopus	Lagopus lagopus rossica 	riekko	Willow Grouse/Red Grouse
Lagopus lagopus	Lagopus lagopus scotica 	riekko	Willow Grouse/Red Grouse
Lagopus muta	Lagopus muta helvetica 	kiiruna	Rock Ptarmigan
Lagopus muta	Lagopus muta millaisi 	kiiruna	Rock Ptarmigan
Lagopus muta	Lagopus muta muta 	kiiruna	Rock Ptarmigan
Lagopus muta	Lagopus muta pyrenaica 	kiiruna	Rock Ptarmigan
Lanius collurio	Lanius collurio 	pikkulepinkäinen	Red-backed Shrike
Lanius excubitor	Lanius excubitor excubitor 	isolepinkäinen	Great Grey/Northern Shrike
Lanius excubitor	Lanius excubitor meridionalis 	isolepinkäinen	Great Grey/Northern Shrike
Lanius minor	Lanius minor 	mustaotsalepinkäinen	Lesser Grey Shrike
Lanius nubicus	Lanius nubicus 	valko-otsalepinkäinen	Masked Shrike
Lanius senator	Lanius senator 	punapäälepinkäinen	Woodchat Shrike
Larus argentatus	Larus argentatus 	harmaalokki	Herring Gull
Larus audouinii	Larus audouinii 	välimerenlokki	Audouin’s Gull
Larus cachinnans	Larus cachinnans 	aroharmaalokki	Caspian Gull
Larus canus	Larus canus 	kalalokki	Mew Gull
Larus fuscus	Larus fuscus fuscus 	selkälokki	Lesser Black-backed Gull
Larus fuscus	Larus fuscus graellsii 	selkälokki	Lesser Black-backed Gull
Larus fuscus	Larus fuscus intermedius 	selkälokki	Lesser Black-backed Gull
Larus genei	Larus genei 	kaitanokkalokki	Slender-billed Gull
Larus marinus	Larus marinus 	merilokki	Great Black-backed Gull
Larus melanocephalus	Larus melanocephalus 	mustanmerenlokki	Mediterranean Gull
Larus michahellis	Larus michahellis 	etelänharmaalokki	Yellow-legged Gull
Larus minutus	Larus minutus 	pikkulokki	Little Gull
Larus ridibundus	Larus ridibundus 	naurulokki	Common Black-headed Gull
Leiothrix lutea	Leiothrix lutea 	tulirintatimali	Red-billed Leiothrix
Limicola falcinellus	Limicola falcinellus 	jänkäsirriäinen	Broad-billed Sandpiper
Limosa lapponica	Limosa lapponica 	punakuiri	Bar-tailed Godwit
Limosa limosa	Limosa limosa islandica 	mustapyrstökuiri	Black-tailed Godwit
Limosa limosa	Limosa limosa limosa 	mustapyrstökuiri	Black-tailed Godwit
Locustella fluviatilis	Locustella fluviatilis 	viitasirkkalintu	River Warbler
Locustella luscinioides	Locustella luscinioides 	ruokosirkkalintu	Savi’s Warbler
Locustella naevia	Locustella naevia 	pensassirkkalintu	Grasshopper Warbler
Loxia curvirostra	Loxia curvirostra 	pikkukäpylintu	Red Crossbill
Loxia leucoptera	Loxia leucoptera 	kirjosiipikäpylintu	White-winged Crossbill
Loxia pytyopsittacus	Loxia pytyopsittacus 	isokäpylintu	Parrot Crossbill
Loxia scotica	Loxia scotica 	skotlanninkäpylintu	Scottish Crossbill
Lullula arborea	Lullula arborea 	kangaskiuru	Woodlark
Luscinia luscinia	Luscinia luscinia 	satakieli	Thrush Nightingale
Luscinia megarhynchos	Luscinia megarhynchos 	etelänsatakieli	Common Nightingale
Luscinia svecica	Luscinia svecica cyanecula 	sinirinta	Bluethroat
Luscinia svecica	Luscinia svecica svecica 	sinirinta	Bluethroat
Lymnocryptes minimus	Lymnocryptes minimus 	jänkäkurppa	Jack Snipe
Marmaronetta angustirostris	Marmaronetta angustirostris 	marmorisorsa	Marbled Teal
Melanitta fusca	Melanitta fusca fusca 	pilkkasiipi	White-winged Scoter/Velvet Scoter
Melanitta nigra	Melanitta nigra nigra 	mustalintu	Black Scoter
Melanitta perspicillata	Melanitta perspicillata 	pilkkaniska	Surf Scoter
Melanocorypha calandra	Melanocorypha calandra 	arokiuru	Calandra Lark
Meleagris gallopavo	Meleagris gallopavo 	kalkkuna	Wild Turkey
Mergellus albellus	Mergellus albellus 	uivelo	Smew
Mergus merganser	Mergus merganser merganser 	isokoskelo	Goosander/Common Merganser
Mergus serrator	Mergus serrator 	tukkakoskelo	Red-breasted Merganser
Merops apiaster	Merops apiaster 	mehiläissyöjä	European Bee-eater
Milvus migrans	Milvus migrans 	haarahaukka	Black Kite
Milvus milvus	Milvus milvus 	isohaarahaukka	Red Kite
Monticola saxatilis	Monticola saxatilis 	kivikkorastas	Common Rock Thrush
Monticola solitarius	Monticola solitarius 	sinirastas	Blue Rock Thrush
Montifringilla nivalis	Montifringilla nivalis 	lumivarpunen	White-winged Snowfinch
Morus bassanus	Morus bassanus 	suula	Northern Gannet
Motacilla alba	Motacilla alba 	västäräkki	White Wagtail
Motacilla cinerea	Motacilla cinerea 	virtavästäräkki	Grey Wagtail
Motacilla citreola	Motacilla citreola 	sitruunavästäräkki	Citrine Wagtail
Motacilla flava	Motacilla flava 	keltavästäräkki	Yellow Wagtail
Muscicapa striata	Muscicapa striata 	harmaasieppo	Spotted Flycatcher
Myiopsitta monachus	Myiopsitta monachus 	munkkiaratti	Monk Parakeet
Neophron percnopterus	Neophron percnopterus 	pikkukorppikotka	Egyptian Vulture
Netta rufina	Netta rufina 	punapäänarsku	Red-crested Pochard
Nucifraga caryocatactes	Nucifraga caryocatactes 	pähkinähakki	Eurasian Nutcracker
Numenius arquata	Numenius arquata arquata 	kuovi	Eurasian Curlew
Numenius arquata	Numenius arquata orientalis 	kuovi	Eurasian Curlew
Numenius phaeopus	Numenius phaeopus 	pikkukuovi	Whimbrel
Numenius tenuirostris	Numenius tenuirostris 	kaitanokkakuovi	Slender-billed Curlew
Numida meleagris	Numida meleagris 	helmikana	Helmeted Guineafowl
Nycticorax nycticorax	Nycticorax nycticorax nycticorax 	yöhaikara	Black-crowned Night Heron
